Symbol,Score,ENSG
TLE1,5.529982703116424e-05,ENSG00000196781
KIRREL3,7.805489608489016e-06,ENSG00000149571
CNTN1,1.6713513894156454e-05,ENSG00000018236
UNC13A,1.8367093822338274e-05,ENSG00000130477
PPFIA2,1.5031734532428971e-05,ENSG00000139220
TENM2,3.9982766125538184e-05,ENSG00000145934
GPR19,6.241415734064719e-07,ENSG00000183150
TENM4,1.803332766097282e-06,ENSG00000149256
ACTN4,0.0002188156388731209,ENSG00000130402
PHB2,0.0003178711483507689,ENSG00000215021
ITGB7,1.355337059572412e-05,ENSG00000139626
EPHA10,5.72541825987212e-06,ENSG00000183317
RPN2,0.00023729303728753438,ENSG00000118705
AGAP2,1.1071872692200647e-05,ENSG00000135439
ENO2,0.000241894262546779,ENSG00000111674
CUX2,1.6910641407687114e-05,ENSG00000111249
DAGLA,1.4285116837172285e-05,ENSG00000134780
ROBO3,4.431993503841083e-06,ENSG00000154134
UBE2N,0.00045551533641119,ENSG00000177889
FGFR3,6.5211616385096795e-06,ENSG00000068078
SLC7A11,8.570894582737563e-06,ENSG00000151012
ACTN1,0.0003911834662480956,ENSG00000072110
FAT2,6.898847912676574e-06,ENSG00000086570
UNC5A,3.120759223242073e-06,ENSG00000113763
C2CD5,0.00035287635552418644,ENSG00000111731
AMPH,3.240973798738334e-05,ENSG00000078053
SCRIB,6.447235739789332e-05,ENSG00000180900
SLC12A2,3.509691311619356e-05,ENSG00000064651
RDH11,6.35596386222882e-05,ENSG00000072042
ITGA7,3.8823666047635645e-06,ENSG00000135424
ERC1,0.00013892911513487194,ENSG00000082805
SEL1L,0.0001363980605228015,ENSG00000071537
ERC2,1.4622832932171721e-05,ENSG00000187672
SHANK1,9.88483114355125e-06,ENSG00000161681
ITGAV,4.690084643095471e-05,ENSG00000138448
UBFD1,2.6563206489806888e-05,ENSG00000103353
CACNA1F,5.146533199547539e-06,ENSG00000102001
MYO5C,6.138552583000165e-05,ENSG00000128833
NBEAL1,1.472557664727453e-05,ENSG00000144426
NCAM2,2.370616862053931e-06,ENSG00000154654
NPC1,9.666827016397736e-05,ENSG00000141458
DNM2,0.00013561097067249826,ENSG00000079805
TANC2,2.5883631398976383e-05,ENSG00000170921
ITGB3,2.720504385087589e-05,ENSG00000259207
OLFM2,2.056309039752146e-06,ENSG00000105088
BRSK1,0.00036501026392491337,ENSG00000160469
ADGRL1,1.8663532047348206e-05,ENSG00000072071
ACLY,0.0002505172391508612,ENSG00000131473
DTNA,9.201011493815762e-06,ENSG00000134769
NPHS1,4.515188289170143e-06,ENSG00000161270
WNT7A,5.8266248004270855e-06,ENSG00000154764
KIF21B,4.686618959378407e-05,ENSG00000116852
ABL1,0.00011297260115951295,ENSG00000097007
