Symbol,xgboost
ACP7,0.37595462799072266
ACR,0.4134272336959839
ACRBP,0.30053484439849854
ACRV1,0.2181244194507599
ACSBG1,0.32216283679008484
ACSBG2,0.2509976923465729
ACSF2,0.5156131386756897
ACSF3,0.2884870171546936
ACSL1,0.2843673825263977
ACSL3,0.3950136601924896
ACSL4,0.29519250988960266
ACSL5,0.28019383549690247
ACSL6,0.5206813812255859
ACSM1,0.3373253643512726
ACSM2A,0.30092984437942505
ACSM2B,0.3023507297039032
ACSM3,0.4244212508201599
ACSM4,0.23010781407356262
ACSM5,0.2768845856189728
ACSM6,0.26885083317756653
ACSS1,0.5083778500556946
ACSS2,0.22804713249206543
ACSS3,0.5116077661514282
ACTA1,0.2825350761413574
ACTA2,0.19223688542842865
ACTB,0.31881266832351685
ACTBL2,0.30377906560897827
