Symbol,Score,ENSP
FLRT1,4.716018481915144e-05,9606.ENSP00000246841
HSPA2,0.00018333217877168983,9606.ENSP00000247207
OMG,7.592904095905205e-05,9606.ENSP00000247271
CANX,0.00011218268838113706,9606.ENSP00000247461
KIF17,9.613627976658363e-05,9606.ENSP00000247986
PLA2G2C,1.9745399371007342e-05,9606.ENSP00000247992
RAB40C,6.55258932794887e-05,9606.ENSP00000248139
TUBA4A,0.0016946813821322212,9606.ENSP00000248437
STYXL1,5.149503420229284e-05,9606.ENSP00000248600
LRFN1,5.957775976024179e-05,9606.ENSP00000248668
RASL11B,0.00014310196707904437,9606.ENSP00000248706
CYTH4,2.2039957341179536e-05,9606.ENSP00000248901
SGSM3,3.472764710904963e-05,9606.ENSP00000248929
YWHAH,0.00020118581067960677,9606.ENSP00000248975
RAC2,0.00022909010990092798,9606.ENSP00000249071
DNAJB9,0.0002759884230680889,9606.ENSP00000249356
LRRC4,6.452008123532978e-05,9606.ENSP00000249363
ISLR,5.7836919122712245e-05,9606.ENSP00000249842
COPB1,6.257494797966833e-05,9606.ENSP00000249923
USP6,4.9511251448573186e-05,9606.ENSP00000250066
DNAAF11,6.435837745645121e-05,9606.ENSP00000250173
AP1M2,4.086290390075583e-05,9606.ENSP00000250244
NEDD8,0.00020033938112184581,9606.ENSP00000250495
MAPK8IP3,3.379328761427578e-05,9606.ENSP00000250894
LMAN1,3.835194555899192e-05,9606.ENSP00000251047
CNGB1,2.7026204234526608e-05,9606.ENSP00000251102
SEC14L5,3.0881875420061736e-05,9606.ENSP00000251170
GNAT2,0.00011154594429563498,9606.ENSP00000251337
TUBG2,0.0016397196134919684,9606.ENSP00000251412
TUBG1,0.0017908346247594346,9606.ENSP00000251413
RABGAP1L,3.709056652851968e-05,9606.ENSP00000251507
PDGFRL,8.237678607499932e-05,9606.ENSP00000251630
SPAG1,0.00010793697372049099,9606.ENSP00000251809
RAF1,0.00014023535508308438,9606.ENSP00000251849
ACTR3C,0.0001397565482191947,9606.ENSP00000252071
MYH13,0.00010021754449902237,9606.ENSP00000252172
KRT1,3.602460304916351e-05,9606.ENSP00000252244
RPL36,6.812586494972103e-05,9606.ENSP00000252543
MAP3K10,9.026354033020751e-05,9606.ENSP00000253055
HIP1R,5.1484270022185455e-05,9606.ENSP00000253083
LATS1,0.0003737245086407139,9606.ENSP00000253339
ACLY,0.0002308694080729377,9606.ENSP00000253792
EXOC4,6.343849356546234e-05,9606.ENSP00000253861
SNRPA1,0.0001098765292821382,9606.ENSP00000254193
ADCY7,0.00014861655863294908,9606.ENSP00000254235
ACTR10,0.00022962590883465932,9606.ENSP00000254286
ARFIP2,3.8609359499344054e-05,9606.ENSP00000254584
ILKAP,5.643055449658468e-05,9606.ENSP00000254654
KDM6B,0.00014410102375704927,9606.ENSP00000254846
GUCY2D,0.00010078955361667294,9606.ENSP00000254854
RIDA,1.5668777206980224e-05,9606.ENSP00000254878
HSPA12B,0.00012496478241044473,9606.ENSP00000254963
AP3B1,5.123263240162409e-05,9606.ENSP00000255194
PDE6A,0.00011116278698661806,9606.ENSP00000255266
MYH4,0.0001217822115426055,9606.ENSP00000255381
SEC14L4,2.6325122779579153e-05,9606.ENSP00000255858
ACTR3B,0.00015001701184473026,9606.ENSP00000256001
KRAS,0.00030325068413125173,9606.ENSP00000256078
DUSP26,4.71203764741687e-05,9606.ENSP00000256261
CD180,4.9535846843810915e-05,9606.ENSP00000256447
IRAK2,0.00011459912401323358,9606.ENSP00000256458
ARL8B,2.1471592189385035e-05,9606.ENSP00000256496
AP4B1,4.7486283321749585e-05,9606.ENSP00000256658
ERN2,9.745617472519572e-05,9606.ENSP00000256797
RERG,0.00014148166758110018,9606.ENSP00000256953
RAB33A,6.742932792111948e-05,9606.ENSP00000257017
PDGFRA,0.0001473107618525984,9606.ENSP00000257290
ANXA1,8.452523127554152e-05,9606.ENSP00000257497
OASL,0.00027740129141583,9606.ENSP00000257570
OCM2,9.778733037441193e-05,9606.ENSP00000257627
CDK4,0.0003413921247307678,9606.ENSP00000257904
KRT82,1.7671058731067868e-05,9606.ENSP00000257974
RAB11FIP5,2.0896337810811274e-05,9606.ENSP00000258098
STX6,4.705612610355543e-05,9606.ENSP00000258301
WNT10A,3.436194945459471e-05,9606.ENSP00000258411
APPL2,2.5539495658053894e-05,9606.ENSP00000258530
KDELR2,2.9485508347708505e-05,9606.ENSP00000258739
MYO1G,8.946271148422481e-05,9606.ENSP00000258787
CIB2,5.055930403765921e-05,9606.ENSP00000258930
CHAD,6.370202672850306e-05,9606.ENSP00000258969
BLK,0.0001082422924898787,9606.ENSP00000259089
LRRC8A,6.03736235133778e-05,9606.ENSP00000259324
DAB2IP,3.0210044422572314e-05,9606.ENSP00000259371
STX17,4.9941775522001484e-05,9606.ENSP00000259400
KIF13A,8.06543104449379e-05,9606.ENSP00000259711
RIPK1,0.00011138059962074575,9606.ENSP00000259808
TUBB2B,0.0004099136922053513,9606.ENSP00000259818
TLR2,0.0001291342869541074,9606.ENSP00000260010
LRRC32,6.085675104859684e-05,9606.ENSP00000260061
TTPA,3.0723794105406395e-05,9606.ENSP00000260116
KIF23,0.00017457701427088675,9606.ENSP00000260363
LRRC49,5.747675624243069e-05,9606.ENSP00000260382
PAK6,9.10690277676184e-05,9606.ENSP00000260404
ARHGAP29,3.830842525883519e-05,9606.ENSP00000260526
IFT172,6.564275259513208e-05,9606.ENSP00000260570
ADCY3,0.00015754492623743646,9606.ENSP00000260600
PREB,3.1244699047539195e-05,9606.ENSP00000260643
