Symbol,Score
AKT2,193
WDR45B,167
ASH1L,156
CIT,199
ADGRA1,191
RABL2A,237
LRRIQ1,411
ATXN3,172
NUMA1,214
HMMR,210
SENP7,813
PRC1,635
STK26,162
KIF7,258
INCENP,514
PPP3CB,274
PBRM1,550
PPP3CA,275
CDC23,690
KIF20A,640
NXF3,246
CLK3,328
FZR1,726
CDK1,943
RABL2B,237
MOB1A,257
FOXB1,188
PDP1,166
MYH11,237
SEPTIN3,277
LRRC3B,191
UBE2G1,254
CCNF,947
DYNC1I2,900
PAFAH1B1,900
CEP250,906
WEE2,628
SEPTIN10,337
RAB2B,237
TTC28,230
STK32A,193
ERG,204
DYRK1A,386
SEPTIN7,337
DNA2,160
MYO5A,241
CEP152,999
MAP3K1,327
TUBA3C,416
SFI1,924
DIAPH3,154
SGSM1,244
MAPK4,151
GP1BB,191
SUN1,212
CUL4B,172
KIF16B,181
RELA,225
MYH8,237
SOS1,349
KIF2A,232
KIF26B,181
HIPK2,372
SUN2,212
PDE7A,196
MARK2,352
FOXP2,188
MYO3B,162
LRRTM4,191
RAD21L1,622
TBC1D14,244
KIF4B,258
OAS1,224
UBA52,224
KIF26A,181
CHEK1,209
STK3,175
SEPTIN9,277
SEPTIN5,337
ARL17B,237
CHFR,275
ARHGAP11B,254
FGFR1,349
KIF5C,181
CEP131,914
FCHO2,487
ZNF655,305
KIFC1,296
DCLK3,578
SENP1,549
RECQL,263
MAN2B1,242
ELOA,349
CCDC14,178
NSD1,379
MYT1L,375
DHFR,169
TOP2B,228
CCNP,601
PPM1N,203
CDK12,228
LRRC70,191
PPP2R2D,826
CDK3,424
RHOA,305
LRRC69,191
WEE1,639
SENP6,813
FBXO43,450
SENP3,549
MBTD1,205
CDC45,232
LRRD1,191
POLD1,349
ADGRA2,191
TNPO2,263
GAS7,487
HDAC9,279
DCTN2,900
KIF5A,192
TBC1D26,244
POC5,418
TBC1D9,244
MARK3,297
ARHGEF28,199
TOP2A,276
MCMDC2,161
LSM14A,274
TK2,343
KLC1,222
GTSE1,160
IGFALS,191
DUSP7,266
FBXL2,186
TAF1L,215
PPP2CA,316
BRCA1,213
SHOX2,249
AZI2,242
LRRC55,191
CDK5,422
NR6A1,165
UHMK1,241
PDE6B,196
SLIT2,191
CDK18,447
ZFP62,359
HARS1,267
MIB2,223
RPS6KA2,202
FOXR2,255
CEP192,993
KIF13B,254
RHOBTB2,237
AMPD1,242
SLIT3,191
HDAC2,276
FAU,175
CKAP5,948
CDC27,747
LRRC24,191
RPS6KA1,208
MYO18A,237
PDE10A,196
TBC1D30,556
TMTC1,222
CEP290,932
TBC1D15,244
HOPX,165
ERH,194
TTC6,222
NEDD1,934
DNAL1,411
DUSP13,266
TMEM250,337
NUSAP1,232
LRRC9,411
TUBGCP4,902
METTL4,167
AURKB,420
PLK5,534
RND2,237
RAD23A,224
LRRC63,191
